Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,AS Number,AS Organization
200114baa0518c0061b531a4d1f8cc83,0,2785,811812,0,0,1854,595632,931,216180,,,,
2606470020ac434b27,0,5,430,0,0,0,0,5,430,,,,
200114baa0518c007e7716fffea8cf20,0,1213,335632,0,0,1211,335460,2,172,,,,
26001901038d7,0,19,1634,0,0,0,0,19,1634,,,,
fe803c6485d8f884544c,0,1212,222765,0,0,1006,205937,206,16828,,,,
fe807e7716fffea8cf20,0,675,58582,0,0,371,32438,304,26144,,,,
fe80f17b6c72fea65dc5,0,15341,1471382,0,0,15341,1471382,0,0,,,,
ff02fb,0,8222,826778,0,0,0,0,8222,826778,,,,
ff0213,0,7660,711548,0,0,0,0,7660,711548,,,,
200114b810001,0,1031,106880,0,0,0,0,1031,106880,,,,
2a00145040268082003,0,40,37393,0,0,0,0,40,37393,,,,
2606470020681abf0,0,5,430,0,0,0,0,5,430,,,,
200167c4e8f0049,0,29,2494,0,0,0,0,29,2494,,,,
fe801082713d3d2ca607,0,133,22893,0,0,133,22893,0,0,,,,
2a014f8c0101ef11,0,2,172,0,0,0,0,2,172,,,,
fe807e7716fffea8cf22,0,100,9000,0,0,100,9000,0,0,,,,
ff021,0,167,16182,0,0,0,0,167,16182,,,,
ff0216,0,245,38590,0,0,0,0,245,38590,,,,
2a044e423a760,0,16,1376,0,0,0,0,16,1376,,,,
200114b810002,0,356,37327,0,0,0,0,356,37327,,,,
2001b28f23f9852438,0,5,430,0,0,0,0,5,430,,,,
2a05d01458f620264,0,15,1290,0,0,0,0,15,1290,,,,
2a05d01458f620164,0,20,1720,0,0,0,0,20,1720,,,,
2a0014504026802200a,0,22,13952,0,0,0,0,22,13952,,,,
ff02c,0,147,105546,0,0,0,0,147,105546,,,,
260019011c36,0,48,16188,0,0,0,0,48,16188,,,,
2a014f8271134e2,0,3,258,0,0,0,0,3,258,,,,
2a032880f213c3faceb00c0167,0,7,602,0,0,0,0,7,602,,,,
2a0226f012005ac1b01,0,5,430,0,0,0,0,5,430,,,,
2a026ea0c5003,0,1,86,0,0,0,0,1,86,,,,
2603102630001084,0,5,430,0,0,0,0,5,430,,,,
260647006812e65,0,5,430,0,0,0,0,5,430,,,,
2603102630001102,0,5,430,0,0,0,0,5,430,,,,
2603102630001105,0,5,430,0,0,0,0,5,430,,,,
2603102630001083,0,5,430,0,0,0,0,5,430,,,,
2a0014504026802200e,0,14,18273,0,0,0,0,14,18273,,,,
2a0226f05200b81ff89,0,3,258,0,0,0,0,3,258,,,,
2a023d0640a000,0,2,172,0,0,0,0,2,172,,,,
200114b818003033ea59f29,0,14,1204,0,0,0,0,14,1204,,,,
200114b818003033ea59f08,0,14,1204,0,0,0,0,14,1204,,,,
2001b28f23d8007805532,0,10,860,0,0,0,0,10,860,,,,
26001901181,0,11,6976,0,0,0,0,11,6976,,,,
26064700440068122439,0,14,18273,0,0,0,0,14,18273,,,,
2a014f8c012e6551,0,4,344,0,0,0,0,4,344,,,,
2a0014504026804200a,0,35,37148,0,0,0,0,35,37148,,,,
2a05d01458f620064,0,15,1290,0,0,0,0,15,1290,,,,
2a05d014275cb01c8,0,20,1720,0,0,0,0,20,1720,,,,
2a0226f0412161f93,0,5,430,0,0,0,0,5,430,,,,
2a0226f0412161f9b,0,5,430,0,0,0,0,5,430,,,,
26201ec12239,0,4,344,0,0,0,0,4,344,,,,
2a0226f0520017c92b89,0,2,172,0,0,0,0,2,172,,,,
2a0226f0120058d21cc,0,1,86,0,0,0,0,1,86,,,,
2a0226f0120058121cc,0,1,86,0,0,0,0,1,86,,,,
2a00145040268052003,0,17,18531,0,0,0,0,17,18531,,,,
20011900233b1f001fe,0,1,86,0,0,0,0,1,86,,,,
200114b818003003eb7aa32,0,5,430,0,0,0,0,5,430,,,,
26001901092a9,0,1,86,0,0,0,0,1,86,,,,
2a0014504026805200e,0,79,85924,0,0,0,0,79,85924,,,,
2a00145040268022003,0,21,18875,0,0,0,0,21,18875,,,,
2a00145040268042001,0,28,36546,0,0,0,0,28,36546,,,,
2a0014504026808200d,0,25,30073,0,0,0,0,25,30073,,,,
2a0014504026808200a,0,80,86010,0,0,0,0,80,86010,,,,
2a0014504026808200e,0,69,78849,0,0,0,0,69,78849,,,,
2a05d014275cb02c8,0,5,430,0,0,0,0,5,430,,,,
2a05d014275cb00c8,0,5,430,0,0,0,0,5,430,,,,
2a00145040268032005,0,1,86,0,0,0,0,1,86,,,,
2a00145040268082005,0,5,430,0,0,0,0,5,430,,,,
2a00145040268042004,0,14,18273,0,0,0,0,14,18273,,,,
2a0014504026805200a,0,37,37135,0,0,0,0,37,37135,,,,
2a00145040268082001,0,67,67823,0,0,0,0,67,67823,,,,
2a00145040268032001,0,18,18617,0,0,0,0,18,18617,,,,
2a0014504026803200a,0,32,30675,0,0,0,0,32,30675,,,,
260647006812f65,0,5,430,0,0,0,0,5,430,,,,
2a0226f0413861e80,0,1,86,0,0,0,0,1,86,,,,
,0,1,78,0,0,1,78,0,0,,,,
ff021ff40eb85,0,2,164,0,0,0,0,2,164,,,,
200114baa0518c00ad01ffd8f040eb85,0,1069,432476,0,0,691,304768,378,127708,,,,
2a00145040268032003,0,3,258,0,0,0,0,3,258,,,,
2600900025f73800184845acc093a1,0,3,258,0,0,0,0,3,258,,,,
2606470044006812205a,0,16,18445,0,0,0,0,16,18445,,,,
2600900025f7dc001d834569c093a1,0,6,516,0,0,0,0,6,516,,,,
2a0226f0e2685498e9,0,3,258,0,0,0,0,3,258,,,,
2a0226f012002b4f09,0,5,430,0,0,0,0,5,430,,,,
2a0226f05200b81ffa9,0,2,172,0,0,0,0,2,172,,,,
26031026c11c552,0,1,86,0,0,0,0,1,86,,,,
26201ec4653,0,1,86,0,0,0,0,1,86,,,,
260310632000254,0,1,86,0,0,0,0,1,86,,,,
2a0014504010c02bc,0,1,86,0,0,0,0,1,86,,,,
2a0014504010c0866,0,10,10508,0,0,0,0,10,10508,,,,
2600900025f752001d834569c093a1,0,5,430,0,0,0,0,5,430,,,,
2a0226f01200287f09,0,2,172,0,0,0,0,2,172,,,,
260650c08001153,0,2,172,0,0,0,0,2,172,,,,
2a014f81c1e85b61,0,6,516,0,0,0,0,6,516,,,,
260647004400ac4097c7,0,3,258,0,0,0,0,3,258,,,,
260647003034ac43bf1c,0,2,172,0,0,0,0,2,172,,,,
2a044e423a347,0,2,172,0,0,0,0,2,172,,,,
2a00145040268042003,0,9,6804,0,0,0,0,9,6804,,,,
2600190104c10,0,2,172,0,0,0,0,2,172,,,,
2a044e423a485,0,2,172,0,0,0,0,2,172,,,,
26064700310cac422f20,0,7,6632,0,0,0,0,7,6632,,,,
2a05d01892c71033856f8eb5631465,0,2,172,0,0,0,0,2,172,,,,
26001900411086f,0,1,86,0,0,0,0,1,86,,,,
ff0212,0,1,120,0,0,0,0,1,120,,,,
2a0226f0413852c1a,0,2,172,0,0,0,0,2,172,,,,
